PropName,Borough,System,Type of Water Feature
Pelham Bay Park,X,X039-DF0102,Drinking Fountain
North Pacific Playground,B,B356-DF0445,Drinking Fountain
Theodore Roosevelt Park,M,M053-DF0004,Drinking Fountain
Astoria Park,Q,Q004-DF0815,Drinking Fountain
Manhattan Beach Park,B,B251-DF0923,Drinking Fountain
McGuire Fields,B,B166D-DF0821,Drinking Fountain
Marion Hopkinson Playground,B,B110-DF0162,Drinking Fountain
Spuyten Duyvil Playground,X,X171-DF0109,Drinking Fountain
Dome Playground,B,B151-DF0507,Drinking Fountain
Sumner Playground,B,B263-DF982,Drinking Fountain
St. Mary's Park,X,X045-DF0174,Drinking Fountain
Concrete Plant Park,X,X305-DF0333,Drinking Fountain
John V. Lindsay East River Park,M,M144-DF0352,Drinking Fountain
Wolfe's Pond Park,R,R031-DF0144,Drinking Fountain
Flushing Meadows Corona Park,Q,Q099-DF0227,Drinking Fountain
James J Walker Park,M,M038-DF0616,Drinking Fountain
Thorpe Family Playground,X,X302-DF0356,Drinking Fountain
Little Bay Park,Q,Q010A-DF0747,Drinking Fountain
Brizzi Playground,B,B162-DF0512,Drinking Fountain
Squibb Park,B,B223F-DF0886,Drinking Fountain
Benson Playground,B,B277-DF0788,Drinking Fountain
Coney Island Beach & Boardwalk,B,B169-DF0578,Drinking Fountain
Brownsville Playground,B,B270-DF1097,Drinking Fountain
Van Cortlandt Park,X,X092-DF0485,Drinking Fountain
Thomas Greene Playground,B,B145-DF1080,Drinking Fountain
Cunningham Park,Q,Q021-DF0445,Drinking Fountain
Flushing Meadows Corona Park,Q,Q099-DF0211,Drinking Fountain
Underwood Park,B,B259-DF0709,Drinking Fountain
Mosholu Parkway,X,X033-DF0059,Drinking Fountain
"Phil ""Scooter"" Rizzuto Park",Q,Q129-DF0582,Drinking Fountain
Louis Pasteur Park,Q,Q369-DF0610,Drinking Fountain
Rev. T. Wendell Foster Park and Recreation Center,X,X034-DF0522,Drinking Fountain
Central Park,M,M010-DF0618,Drinking Fountain
Sutton Parks,M,M108P-DF0065,Drinking Fountain
Co-op City Field,X,X251-DF0442,Drinking Fountain
Randall's Island Park,M,M104-DF0165,Drinking Fountain
Randall's Island Park,M,M104-DF1092,Drinking Fountain
Fort Tryon Park,M,M029-DF1117,Drinking Fountain
Washington's Walk,X,X038-DF0411,Drinking Fountain
Russell Sage Playground,Q,Q335-DF0545,Drinking Fountain
Sherman Creek,M,MZ469-DF0881,Drinking Fountain
Bronx Park,X,X002-DF0509,Drinking Fountain
Midland Field,R,R038A-DF0059,Drinking Fountain
Lost Battalion Hall Recreation Center,Q,Q401-DF1020,Drinking Fountain
John J Carty Park,B,B210W-DF1085,Drinking Fountain
Flushing Meadows Corona Park,Q,Q099-DF1022,Drinking Fountain
Stuyvesant Square,M,M086-DF0037,Drinking Fountain
Electric Playground,Q,Q342-DF0374,Drinking Fountain
Central Park,M,M010-DF0564,Drinking Fountain
Central Park,M,M010-DF1049,Drinking Fountain
Fort Tryon Park,M,M029-DF0135,Drinking Fountain
Shore Park and Parkway,B,B082-DF0781,Drinking Fountain
P.O. Reinaldo Salgado Playground,B,B224-DF0118,Drinking Fountain
Washington Park,B,B111-DF0251,Drinking Fountain
Ranaqua Playground,X,X272-DF0495,Drinking Fountain
Ferry Point Park,X,X126-DF0489,Drinking Fountain
Schiff Mall,M,M080-DF0448,Drinking Fountain
Fort Washington Park,M,M028-DF0045,Drinking Fountain
Asser Levy Playground,M,M164-DF1008,Drinking Fountain
Bronx Park,X,X002-DF0071,Drinking Fountain
Central Park,M,M010-DF0602,Drinking Fountain
Baisley Pond Park,Q,Q005-DF0319,Drinking Fountain
Fort Greene Park,B,B032-DF1105,Drinking Fountain
Bayswater Park,Q,Q007-DF0253,Drinking Fountain
Fisher Pool,Q,Q441-DF0962,Drinking Fountain
Mathews-Palmer Playground,M,M154-DF0658,Drinking Fountain
Parade Ground,B,B068-DF1064,Drinking Fountain
Maria Hernandez Park,B,B016-DF0017,Drinking Fountain
Betsy Head Park,B,B008-DF0140,Drinking Fountain
Brooklyn Heights Promenade,B,B223DJ-DF0945,Drinking Fountain
Hamilton Fish Park,M,M033-DF1073,Drinking Fountain
Marine Park,B,B057-DF0834,Drinking Fountain
Cunningham Park,Q,Q021-DF0160,Drinking Fountain
Rienzi Playground,X,X141-DF0046,Drinking Fountain
Barrier Playground,Q,Q357B01-DF0392,Drinking Fountain
Farm Playground,Q,Q221-DF0909,Drinking Fountain
Hammel Playground,Q,Q367-DF0191,Drinking Fountain
Randall's Island Park,M,M104-DF1095,Drinking Fountain
Alley Pond Park,Q,Q001-DF0700,Drinking Fountain
Thomas Boyland Park,B,B381-DF0034,Drinking Fountain
Colden Playground,Q,Q347-DF0088,Drinking Fountain
Shorehaven,X,X088-DF0444,Drinking Fountain
Carroll Park,B,B019-DF0245,Drinking Fountain
Kissena Park,Q,Q024-DF0638,Drinking Fountain
Sutter Ballfields,B,B419-DF0183,Drinking Fountain
Star Spangled Playground,B,B266-DF0079,Drinking Fountain
Morningside Park,M,M056-DF0883,Drinking Fountain
Colucci Playground,X,X122-DF0195,Drinking Fountain
Gun Hill Playground,X,X161-DF0021,Drinking Fountain
Randall's Island Park,M,M104-DF0169,Drinking Fountain
Richman (Echo) Park,X,X017-DF0326,Drinking Fountain
Watson Gleason Playground,X,X124-DF0165,Drinking Fountain
Bushwick Inlet Park,B,B529-DF1011,Drinking Fountain
Willowbrook Park,R,R030-DF0022,Drinking Fountain
Cardozo Playground,Q,Q382-DF0772,Drinking Fountain
Rockaway Garage,Q,Q455-DF0973,Drinking Fountain
Flushing Meadows Corona Park,Q,Q099-DF0947,Drinking Fountain
High Rock Park,R,R088-DF0219,Drinking Fountain
Burns Playground,X,X232-DF0254,Drinking Fountain
Chelsea Recreation Center,M,M260-DF1020,Drinking Fountain
Wright Brothers Playground,M,M234-DF0071,Drinking Fountain
Crocheron Park,Q,Q012-DF0751,Drinking Fountain
Beach 9 Playground,Q,Q162J01-DF0346,Drinking Fountain
Thomas Greene Playground,B,B145-DF0249,Drinking Fountain
The High Line,M,M360-DF0119,Drinking Fountain
Van Cortlandt Park,X,X092-DF0223,Drinking Fountain
East Springfield Playground,Q,Q404-DF0789,Drinking Fountain
East River Waterfront Esplanade,M,M391-DF0470,Drinking Fountain
Horseshoe Playground,X,X014-DF0270,Drinking Fountain
Fort Washington Park,M,M028-DF0055,Drinking Fountain
Cadman Plaza Park,B,B113A-DF0794,Drinking Fountain
McKinley Park,B,B060-DF0751,Drinking Fountain
Gwirtzman Triangle,Q,QT10-DF0164,Drinking Fountain
Flushing Meadows Corona Park,Q,Q099-DF0258,Drinking Fountain
Thomas Jefferson Park,M,M047-DF0405,Drinking Fountain
Queensbridge Park,Q,Q104-DF0035,Drinking Fountain
Isham Park,M,M043-DF0197,Drinking Fountain
John Allen Payne Playground,B,B210A-DF0077,Drinking Fountain
Silver Lake Park,R,R022-DF0153,Drinking Fountain
Clove Lakes Park,R,R005-DF0167,Drinking Fountain
Captain Rivera Playground,X,X194-DF0301,Drinking Fountain
Flushing Meadows Corona Park,Q,Q099-DF0195,Drinking Fountain
Greenwood Playground,B,B130-DF0545,Drinking Fountain
Leif Ericson Park,B,B052-DF0785,Drinking Fountain
Flushing Meadows Corona Park,Q,Q084A-DF0318,Drinking Fountain
Hinton Park,Q,Q410-DF0167,Drinking Fountain
Central Park,M,M010-DF0885,Drinking Fountain
Forest Park,Q,Q015-DF1003,Drinking Fountain
Juniper Valley Park,Q,Q102-DF0951,Drinking Fountain
Andrew Haswell Green Park,M,M108Q1-DF0637,Drinking Fountain
Hawkins Park,X,X107-DF0016,Drinking Fountain
Bronx River Parkway,X,X004-DF0155,Drinking Fountain
St. James Park,X,X044-DF0579,Drinking Fountain
Brooklyn Bridge Park,B,B431-DF0948,Drinking Fountain
Central Park,M,M010-DF0577,Drinking Fountain
Mount Eden Malls,X,X081-DF0188,Drinking Fountain
Jennie Jerome Playground,X,X148C5-DF0371,Drinking Fountain
Pelham Bay Park,X,X039-DF0026,Drinking Fountain
Freshkills Park,R,R017-DF0205,Drinking Fountain
Bloomingdale Park,R,R106-DF0138,Drinking Fountain
Coney Island Beach & Boardwalk,B,B169-DF0543,Drinking Fountain
Vesuvio Playground,M,M069-DF0320,Drinking Fountain
Sutter Ballfields,B,B419-DF0182,Drinking Fountain
Prospect Park,B,B073-DF1042,Drinking Fountain
Battery Park City,M,M283-DF0201,Drinking Fountain
Riverside Park,M,M071-DF0053,Drinking Fountain
Macombs Dam Park,X,X030-DF0425,Drinking Fountain
Mount Hope Playground,X,X257-DF0383,Drinking Fountain
Kosciuszko Pool,B,B351-DF1114,Drinking Fountain
Fort Totten Park,Q,Q458-DF1028,Drinking Fountain
Pratt Playground,B,B292-DF0218,Drinking Fountain
Washington Market Park,M,M308-DF0872,Drinking Fountain
Almeda Playground,Q,Q443-DF0218,Drinking Fountain
Gravesend Park,B,B042-DF0678,Drinking Fountain
Prospect Park,B,B073-DF1055,Drinking Fountain
Canarsie Park,B,B018-DF0811,Drinking Fountain
Arsenal West,M,MT03-DF1029,Drinking Fountain
Central Park,M,M010-DF0273,Drinking Fountain
Seth Low Playground/ Bealin Square,B,B100-DF0645,Drinking Fountain
Saratoga Park,B,B079-DF0300,Drinking Fountain
Utopia Playground,Q,Q294-DF0367,Drinking Fountain
Sunset Park,B,B087-DF0556,Drinking Fountain
Forest Park,Q,Q015-DF0010,Drinking Fountain
Kissena Corridor Park,Q,Q300-DF0631,Drinking Fountain
Rockaway Beach Boardwalk,Q,Q163-DF1006,Drinking Fountain
Simeone Park,Q,Q474-DF0890,Drinking Fountain
Davis Playground,R,R086-DF0106,Drinking Fountain
Prospect Park,B,B073-DF0289,Drinking Fountain
Allerton Playground,X,X172-DF0252,Drinking Fountain
Van Cortlandt Park,X,X092-DF0451,Drinking Fountain
Heckscher Playground,B,B139-DF0065,Drinking Fountain
Arsenal West,M,MT03-DF1034,Drinking Fountain
Red Hook Recreation Area,B,B126-DF0066,Drinking Fountain
Sara D. Roosevelt Park,M,M105-DF1085,Drinking Fountain
James Madison Plaza,M,M255-DF0347,Drinking Fountain
Coney Island Beach & Boardwalk,B,B169-DF0568,Drinking Fountain
Walker Park,R,R015-DF0122,Drinking Fountain
Franklin D. Roosevelt Boardwalk and Beach,R,R046-DF0084,Drinking Fountain
Saw Mill Playground,X,X238-DF0598,Drinking Fountain
Fulton Park,B,B038-DF0309,Drinking Fountain
Harlem River Park,M,M208C-DF0421,Drinking Fountain
Rockaway Beach Boardwalk,Q,Q163-DF0418,Drinking Fountain
City Line Park,B,B141-DF1154,Drinking Fountain
Marine Park,B,B057-DF0844,Drinking Fountain
St. John's Park,B,B245-DF0479,Drinking Fountain
Chelsea Recreation Center,M,M260-DF1024,Drinking Fountain
Coney Island Beach & Boardwalk,B,B169-DF0588,Drinking Fountain
East River Waterfront Esplanade,M,M391-DF0332,Drinking Fountain
McCarren Park,B,B058-DF0406,Drinking Fountain
Robert L. Clinkscales Playground and Community Garden,M,M355-DF0533,Drinking Fountain
Crotona Park,X,X010-DF0434,Drinking Fountain
Claremont Park,X,X008-DF0547,Drinking Fountain
Morningside Park,M,M056-DF0456,Drinking Fountain
Bushwick Playground,B,B017-DF0046,Drinking Fountain
Astoria Park,Q,Q004-DF0459,Drinking Fountain
Freshkills Park,R,R017-DF0204,Drinking Fountain
Osborn Playground,B,B343-DF0120,Drinking Fountain
Blood Root Valley,R,R129-DF0220,Drinking Fountain
Washington Hall Park,B,B220-DF0225,Drinking Fountain
Franz Sigel Park,X,X047-DF0404,Drinking Fountain
Manhattan Beach Park,B,B251-DF0929,Drinking Fountain
Central Park,M,M010-DF0593,Drinking Fountain
Forest Park,Q,Q015-DF1001,Drinking Fountain
Van Cortlandt Park,X,X092-DF0255,Drinking Fountain
Pink Playground,B,B309-DF0051,Drinking Fountain
Prospect Park,B,B073-DF0376,Drinking Fountain
Jackie Robinson Park,M,M014-DF0905,Drinking Fountain
Central Park,M,M010-DF0558,Drinking Fountain
Behagen Playground,X,X166-DF0283,Drinking Fountain
Fort Hamilton Athletic Field,B,B192A-DF0883,Drinking Fountain
Horace Harding Playground,Q,Q428-DF0568,Drinking Fountain
Union Square Park,M,M089-DF0099,Drinking Fountain
William McCray Playground,M,M110-DF0543,Drinking Fountain
Mosholu Parkway,X,X033-DF0166,Drinking Fountain
St. Nicholas Park,M,M077-DF0486,Drinking Fountain
Cunningham Park,Q,Q021-DF0508,Drinking Fountain
Southern Fields,Q,Q096B-DF0745,Drinking Fountain
Dr. Gertrude B. Kelly Playground,M,M066-DF0204,Drinking Fountain
Forest Park,Q,Q015-DF0896,Drinking Fountain
Friends Field,B,B372-DF0256,Drinking Fountain
Detective Keith L Williams Park,Q,Q121-DF0482,Drinking Fountain
Tanahey Playground,M,M206-DF0429,Drinking Fountain
Garden Playground,B,B340-DF0026,Drinking Fountain
Pelham Bay Park,X,X039-DF0093,Drinking Fountain
Holcombe Rucker Park,M,M216-DF0525,Drinking Fountain
Rainey Park,Q,Q048-DF0040,Drinking Fountain
Louis Armstrong Community Center,Q,Q468-DF0977,Drinking Fountain
Hunts Point Playground,X,X113-DF0345,Drinking Fountain
Julio Carballo Fields,X,X260-DF0570,Drinking Fountain
McDonald Playground,B,B244-DF0663,Drinking Fountain
Blood Root Valley,R,R129-DF0257,Drinking Fountain
South Pacific Playground,B,B153-DF0150,Drinking Fountain
Soundview Park,X,X118-DF0572,Drinking Fountain
Central Park,M,M010-DF0556,Drinking Fountain
McCarren Park,B,B058-DF1033,Drinking Fountain
Prospect Park,B,B073-DF1057,Drinking Fountain
Central Park,M,M010-DF0667,Drinking Fountain
Collect Pond Park,M,M242-DF0445,Drinking Fountain
Riverside Park,M,M071-DF0081,Drinking Fountain
Randall Playground,X,X203-DF0141,Drinking Fountain
Murphy Brothers Playground,M,M059-DF0398,Drinking Fountain
Flushing Meadows Corona Park,Q,Q099-DF0134,Drinking Fountain
Coney Island Beach & Boardwalk,B,B169-DF0593,Drinking Fountain
Robert E. Venable Park,B,B380-DF0196,Drinking Fountain
Allen Street Malls,M,M004-DF0450,Drinking Fountain
Forest Park,Q,Q015-DF0020,Drinking Fountain
Marine Park,B,B057-DF0976,Drinking Fountain
Yellowstone Park,Q,Q425-DF0570,Drinking Fountain
Beatty Plaza,X,X062-DF0296,Drinking Fountain
Chelsea Park,M,M011-DF0208,Drinking Fountain
Highland Park,Q,Q020-DF0031,Drinking Fountain
Carl Schurz Park,M,M081-DF0263,Drinking Fountain
Dyker Beach Park,B,B028-DF0657,Drinking Fountain
Marcy Playground,B,B217-DF0436,Drinking Fountain
Battery Park City,M,M283-DF0185,Drinking Fountain
Dyker Beach Park,B,B028-DF0860,Drinking Fountain
Wolfe's Pond Park,R,R031-DF0175,Drinking Fountain
St. Andrew's Playground,B,B225-DF0144,Drinking Fountain
Montbellier Park,Q,Q396-DF0761,Drinking Fountain
James J Walker Park,M,M038-DF0617,Drinking Fountain
Hattie Carthan Playground,B,B323-DF0097,Drinking Fountain
Barretto Point Park,X,X307-DF0585,Drinking Fountain
Riverside Park,M,M071-DF0086,Drinking Fountain
James Forten Playground,B,B161-DF0456,Drinking Fountain
Dr. Ronald McNair Park,B,B044-DF0319,Drinking Fountain
Raymond O’Connor Park,Q,Q103-DF0625,Drinking Fountain
Lyons Pool,R,R043-DF0173,Drinking Fountain
Gertrude Ederle Recreation Center,M,M063-DF0341,Drinking Fountain
Quaker Parrot Park at the Dust Bowl,B,B146-DF0789,Drinking Fountain
Parade Ground,B,B068-DF0339,Drinking Fountain
Police Officer Edward Byrne Park,Q,Q092-DF0489,Drinking Fountain
Marcus Garvey Park,M,M058-DF0501,Drinking Fountain
Van Cortlandt Park,X,X092-DF0227,Drinking Fountain
Hickman Playground,B,B330-DF0557,Drinking Fountain
Flushing Meadows Corona Park,Q,Q099-DF0285,Drinking Fountain
Little Flower Playground,M,M132-DF0291,Drinking Fountain
Coney Island Beach & Boardwalk,B,B169-DF0576,Drinking Fountain
Brownsville Playground,B,B270-DF1093,Drinking Fountain
Wayanda Park,Q,Q082-DF0098,Drinking Fountain
Washington Square Park,M,M098-DF0608,Drinking Fountain
The Battery,M,M005-DF0597,Drinking Fountain
Central Park,M,M010-DF0571,Drinking Fountain
Whitestone Playground,Q,Q343-DF0064,Drinking Fountain
East River Walk,M,M108T-DF0640,Drinking Fountain
Harlem River Park,M,M208D-DF0418,Drinking Fountain
Central Park,M,M010-DF0629,Drinking Fountain
Maple Playground,Q,Q211-DF0725,Drinking Fountain
Bath Beach Park,B,B164-DF0625,Drinking Fountain
Flushing Meadows Corona Park,Q,Q099-DF1026,Drinking Fountain
Central Park,M,M010-DF1058,Drinking Fountain
Thomas Jefferson Park,M,M047-DF0408,Drinking Fountain
Sheltering Arms Playground,M,M190-DF0488,Drinking Fountain
Seward Park,M,M082-DF0213,Drinking Fountain
Glen Oaks Oval,Q,Q310-DF0118,Drinking Fountain
Roy Wilkins Recreation Center,Q,Q448-DF0113,Drinking Fountain
Clintonville Playground,Q,Q390-DF0744,Drinking Fountain
Mafera Park,Q,Q305-DF0550,Drinking Fountain
McCarren Park,B,B058-DF0219,Drinking Fountain
Coney Island Beach & Boardwalk,B,B169-DF1062,Drinking Fountain
Crotona Park,X,X010-DF0329,Drinking Fountain
Thomas Paine Park,M,M030-DF0437,Drinking Fountain
Flushing Meadows Corona Park,Q,Q099-DF0236,Drinking Fountain
Central Park,M,M010-DF0583,Drinking Fountain
Prospect Park,B,B073-DF0856,Drinking Fountain
Prospect Park,B,B073-DF0909,Drinking Fountain
Raymond Bush Playground,B,B216-DF0116,Drinking Fountain
Central Park,M,M010-DF0651,Drinking Fountain
Clove Lakes Park,R,R005-DF0163,Drinking Fountain
Telephone Playground,Q,Q349-DF0619,Drinking Fountain
Triborough Bridge Playground C,Q,Q066C-DF0858,Drinking Fountain
De Matti Park,R,R035-DF0176,Drinking Fountain
Forest Park,Q,Q015-DF0008,Drinking Fountain
McCaffrey Playground,M,M161-DF1007,Drinking Fountain
Bayswater Park,Q,Q007-DF0239,Drinking Fountain
Cadman Plaza Park,B,B113A-DF1074,Drinking Fountain
West Playground,B,B252-DF0369,Drinking Fountain
LaGuardia Landing Lights,Q,Q393A-DF0173,Drinking Fountain
Fort Tryon Park,M,M029-DF0892,Drinking Fountain
Gravesend Park,B,B042-DF0682,Drinking Fountain
Rev. Dr. Maggie Howard Playground,R,R061-DF0069,Drinking Fountain
Archie Spigner Park,Q,Q051-DF0305,Drinking Fountain
La Guardia Playground,B,B167-DF0482,Drinking Fountain
Midland Playground,R,R038-DF0061,Drinking Fountain
Vidalia Park,X,X266-DF0352,Drinking Fountain
Brigadier General Charles Young Playground,M,M186-DF0537,Drinking Fountain
Howard Pool,B,B260A-DF1132,Drinking Fountain
Rockaway Beach Boardwalk,Q,Q163-DF0428,Drinking Fountain
Crocheron Park,Q,Q012-DF0138,Drinking Fountain
Julio Carballo Fields,X,X260-DF0312,Drinking Fountain
Dr. Charles R. Drew Park,Q,Q220C-DF0792,Drinking Fountain
Rosemary's Playground,Q,Q398-DF0143,Drinking Fountain
Bushwick Inlet Park,B,B529-DF1120,Drinking Fountain
Ambrosini Field,X,X253-DF0019,Drinking Fountain
Riverside Park,M,M071-DF0093,Drinking Fountain
Breukelen Ballfields,B,B247-DF0447,Drinking Fountain
Dyker Beach Park,B,B028-DF0726,Drinking Fountain
Owen F. Dolen Park,X,X016-DF0518,Drinking Fountain
Faber Pool and Park,R,R008-DF0201,Drinking Fountain
Commodore Barry Park,B,B021-DF0735,Drinking Fountain
Arcilla Playground,X,X219-DF0209,Drinking Fountain
Bronx Park,X,X002-DF0516,Drinking Fountain
Amersfort Park,B,B002-DF0732,Drinking Fountain
Torsney Playground,Q,Q340-DF0090,Drinking Fountain
Locust Manor Playground,Q,Q330-DF0136,Drinking Fountain
Tudor Park,Q,Q094-DF0592,Drinking Fountain
Central Park,M,M010-DF0652,Drinking Fountain
Haggerty Park,Q,Q359-DF0465,Drinking Fountain
Highland Park,Q,Q020-DF0851,Drinking Fountain
Central Park,M,M010-DF0891,Drinking Fountain
D'Emic Playground,B,B210B-DF0531,Drinking Fountain
Green Central Knoll,B,B395-DF0916,Drinking Fountain
Harvey Park,Q,Q089B-DF0655,Drinking Fountain
Bicentennial Veterans Memorial Park,X,X191A-DF0035,Drinking Fountain
Central Park,M,M010-DF1065,Drinking Fountain
Leif Ericson Park,B,B052-DF0763,Drinking Fountain
Central Park,M,M010-DF0662,Drinking Fountain
Northern Playground,Q,Q363-DF0589,Drinking Fountain
Railroad Playground,B,B271-DF0279,Drinking Fountain
Rockaway Beach Boardwalk,Q,Q163-DF0425,Drinking Fountain
Coney Island Beach & Boardwalk,B,B169-DF0604,Drinking Fountain
Bushwick Playground,B,B310-DF0465,Drinking Fountain
Dyker Beach Park,B,B028-DF0654,Drinking Fountain
Dimattina Playground,B,B223A-DF0237,Drinking Fountain
Alley Park,Q,Q356-DF0692,Drinking Fountain
Southern Fields,Q,Q096B-DF0490,Drinking Fountain
Grant Park,X,X271-DF0432,Drinking Fountain
Inwood Hill Park,M,M042-DF0179,Drinking Fountain
Helen Marshall Playground,Q,Q373-DF0155,Drinking Fountain
Central Park,M,M010-DF1051,Drinking Fountain
Hinton Park,Q,Q410-DF0373,Drinking Fountain
Montbellier Park,Q,Q396-DF0687,Drinking Fountain
Lindower Park,B,B329-DF0819,Drinking Fountain
Pelham Bay Park,X,X039-DF0104,Drinking Fountain
Winthrop Playground,B,B267-DF0896,Drinking Fountain
Van Dyke Playground,B,B249-DF0103,Drinking Fountain
Franz Sigel Park,X,X047-DF0402,Drinking Fountain
Ferry Point Park,X,X126-DF0438,Drinking Fountain
Riverside Park,M,M071-DF1102,Drinking Fountain
Baisley Pond Park,Q,Q005-DF0450,Drinking Fountain
Albert J. Parham Playground,B,B253-DF0736,Drinking Fountain
Behagen Playground,X,X166-DF0280,Drinking Fountain
Kissena Corridor Park,Q,Q300A-DF0724,Drinking Fountain
East River Playground,M,M258-DF1017,Drinking Fountain
Flushing Meadows Corona Park,Q,Q099-DF0944,Drinking Fountain
Wolfe's Pond Park,R,R031-DF0244,Drinking Fountain
Forest Park,Q,Q015-DF0911,Drinking Fountain
Detective Keith L Williams Park,Q,Q121-DF0478,Drinking Fountain
Green Central Knoll,B,B395-DF0024,Drinking Fountain
Courtney Callender Playground,M,M155-DF0424,Drinking Fountain
Prospect Park,B,B073-DF0845,Drinking Fountain
Josephine Caminiti Playground,Q,Q046-DF0601,Drinking Fountain
Castle Hill Playground,X,X177-DF0131,Drinking Fountain
Admiral Playground,Q,Q338-DF0614,Drinking Fountain
Bayside Playground,Q,Q389-DF0169,Drinking Fountain
Cadman Plaza Park,B,B113A-DF1017,Drinking Fountain
Harris Park,X,X136-DF0154,Drinking Fountain
Macombs Dam Park,X,X030-DF0428,Drinking Fountain
Mafera Park,Q,Q305-DF0555,Drinking Fountain
Macombs Dam Park,X,X030-DF0426,Drinking Fountain
Manhattan Beach Park,B,B251-DF0609,Drinking Fountain
Dutch Kills Playground,Q,Q218-DF0063,Drinking Fountain
Rodney Park North,B,B223PB-DF0402,Drinking Fountain
Tudor Park,Q,Q094-DF0593,Drinking Fountain
Crotona Park,X,X010-DF0335,Drinking Fountain
Soundview Park,X,X118-DF0416,Drinking Fountain
Bronx Park,X,X002-DF0515,Drinking Fountain
Holcombe Rucker Park,M,M216-DF0524,Drinking Fountain
McCarren Park,B,B058-DF1032,Drinking Fountain
Pelham Bay Park,X,X039-DF0530,Drinking Fountain
Flushing Meadows Corona Park,Q,Q099-DF0830,Drinking Fountain
St. James Park,X,X044-DF0055,Drinking Fountain
Alley Athletic Playground,Q,Q001A-DF0708,Drinking Fountain
Central Park,M,M010-DF1104,Drinking Fountain
Clove Lakes Park,R,R005-DF0170,Drinking Fountain
John Vincent Daniels Jr. Square,Q,Q065-DF0369,Drinking Fountain
Plaut Triangle,Q,Q073-DF0742,Drinking Fountain
Riverside Park,M,M071-DF1110,Drinking Fountain
Vidalia Park,X,X266-DF0350,Drinking Fountain
Clove Lakes Park,R,R005-DF0165,Drinking Fountain
Noble Playground,X,X123-DF0127,Drinking Fountain
Bayswater Park,Q,Q007-DF0241,Drinking Fountain
Franklin D. Roosevelt Boardwalk and Beach,R,R046-DF0182,Drinking Fountain
Clove Lakes Park,R,R005-DF0199,Drinking Fountain
Beach 9 Playground,Q,Q162J01-DF0199,Drinking Fountain
Flushing Meadows Corona Park,Q,Q099-DF0276,Drinking Fountain
Sara D. Roosevelt Park,M,M105-DF0215,Drinking Fountain
Cunningham Park,Q,Q021-DF0440,Drinking Fountain
Willow Lake Playground,Q,Q348-DF0541,Drinking Fountain
Admiral Playground,Q,Q338-DF0613,Drinking Fountain
Faber Pool and Park,R,R008-DF0118,Drinking Fountain
Central Park,M,M010-DF0625,Drinking Fountain
Park Slope Playground,B,B320-DF0261,Drinking Fountain
Hamilton Metz Field,B,B193-DF0291,Drinking Fountain
Holocaust Memorial Park,B,BT10-DF0617,Drinking Fountain
Andries Playground,B,B287-DF0384,Drinking Fountain
Whole Foods PAA,B,BT13-DF0907,Drinking Fountain
Flushing Meadows Corona Park,Q,Q099-DF0288,Drinking Fountain
Randall's Island Park,M,M104-DF1087,Drinking Fountain
Bridge Park,X,X094-DF0379,Drinking Fountain
Williamsbridge Oval,X,X104-DF0561,Drinking Fountain
Kelly Park Playground,B,B157-DF0668,Drinking Fountain
Walter Ward Playground,Q,Q421-DF0539,Drinking Fountain
Red Hook Recreation Area,B,B126-DF0005,Drinking Fountain
Claremont Park,X,X008-DF0187,Drinking Fountain
Albemarle Playground,B,B297-DF1020,Drinking Fountain
River Avenue Parks,X,X348-DF0399,Drinking Fountain
Harlem River Park,M,M208D-DF0906,Drinking Fountain
Markham Playground,R,R076-DF0158,Drinking Fountain
Chelsea Park,M,M011-DF0945,Drinking Fountain
Mafera Park,Q,Q305-DF0549,Drinking Fountain
Crotona Park,X,X010-DF0325,Drinking Fountain
Central Park,M,M010-DF0641,Drinking Fountain
Riverside Park,M,M071-DF0022,Drinking Fountain
Northern Playground,Q,Q363-DF0590,Drinking Fountain
Haffen Park,X,X196-DF0039,Drinking Fountain
Rodney Park Center,B,B223PA-DF0403,Drinking Fountain
Archie Spigner Park,Q,Q051-DF0448,Drinking Fountain
Sara D. Roosevelt Park,M,M105-DF0999,Drinking Fountain
Bryan Park,X,X005-DF0058,Drinking Fountain
Monsignor Crawford Field,B,B147-DF0730,Drinking Fountain
McKinley Park,B,B060-DF0748,Drinking Fountain
Albemarle Playground,B,B297-DF0509,Drinking Fountain
Seton Park,X,X201-DF0116,Drinking Fountain
Forest Park,Q,Q015-DF0003,Drinking Fountain
Inwood Hill Park,M,M042-DF0955,Drinking Fountain
Prospect Park,B,B073-DF0851,Drinking Fountain
Crotona Park,X,X010-DF0320,Drinking Fountain
Blue Heron Park,R,R119-DF0227,Drinking Fountain
Hattie Carthan Playground,B,B323-DF0099,Drinking Fountain
Juniper Valley Park,Q,Q102-DF0863,Drinking Fountain
Bill Brown Playground,B,B109-DF0698,Drinking Fountain
Willowbrook Park,R,R030-DF0020,Drinking Fountain
"""Uncle"" Vito F. Maranzano Glendale Playground",Q,Q290-DF0188,Drinking Fountain
ABC Playground,M,M116-DF0318,Drinking Fountain
Coney Island Beach & Boardwalk,B,B169-DF0542,Drinking Fountain
Manhattan Beach Park,B,B251-DF0921,Drinking Fountain
Jesse Owens Playground,B,B269-DF0995,Drinking Fountain
Fort Totten Park,Q,Q458-DF0972,Drinking Fountain
Coleman Playground,M,M019-DF0430,Drinking Fountain
Carroll Park,B,B019-DF0243,Drinking Fountain
