System,DF Activated,FountainType,FountainCount,Painted,Filter Installed,Position,Outdoor,GISPropNum,PropertyName,OMPPropID,SubPropertyName,ParkDistrict,Borough,AMPSID,AMPSClass,AMPSStatus,AMPSParentID,AMPSName,CommunityBoard,CouncilDistrict,Precinct,ZIPCode,x,y
M308-DF0876,NotYetActivated,Other,1,,false,,true,M308,Washington Market Park,M308,,M-01,M,100043325,DRINKFTN,I,M308,Other-Washington Market Park,101,1,1,10013,980917.473516643,200576.337414145
M353-DF0028,Activated,D,1,false,false,"Under Tree, In Playground",true,M353,Riverside Park South,M353-01,Little Engine Playground,M-14,M,100039242,DRINKFTN,I,M353-01,D-Riverside Park South-Little Engine Playground,107,6,20,10069,987287.971274301,222613.747079387
M353-DF0046,Broken,D,1,true,false,Out in Open,true,M353,Riverside Park South,M353-ZN01,South Waterfront West Side,M-14,M,100039265,DRINKFTN,I,M353-ZN01,D-Riverside Park South-South Waterfront West Side,107,6,20,10069,987431.814162478,223382.71535772
M353-DF0077,Broken,D,1,true,false,Out in Open,true,M353,Riverside Park South,M353-ZN01,South Waterfront West Side,M-14,M,100039302,DRINKFTN,I,M353-ZN01,D-Riverside Park South-South Waterfront West Side,107,6,20,10069,987641.958755299,223734.601136893
M353-DF0078,Activated,D,1,true,false,"Under Tree, In Shade",true,M353,Riverside Park South,M353-ZN03,South Waterfront Bike Path,M-14,M,100039329,DRINKFTN,I,M353-ZN03,D-Riverside Park South-South Waterfront Bike Path,107,6,20,10023,986138.175017476,221190.375254228
M353-DF0079,Activated,D,1,true,false,Out in Open,true,M353,Riverside Park South,M353-ZN03,South Waterfront Bike Path,M-14,M,100039305,DRINKFTN,I,M353-ZN03,D-Riverside Park South-South Waterfront Bike Path,107,6,20,10069,986389.205355301,221590.860673725
M353-DF0686,Activated,CS Metal,1,,false,,true,M353,Riverside Park South,M353-ZN03,South Waterfront Bike Path,M-14,M,100043272,DRINKFTN,I,M353-ZN03,CS Metal-Riverside Park South-South Waterfront Bike Path,107,6,20,10069,986607.357806131,222039.366010308
M355-DF0533,Activated,E High Low,2,true,false,In Playground,true,M355,Robert L. Clinkscales Playground and Community Garden,M355,,M-10,M,100040100,DRINKFTN,I,M355,E High Low-Robert L. Clinkscales Playground and Community Garden,110,9,32,10039,1000891.84826597,239032.362207978
M360-DF0117,NotYetActivated,Trough,1,true,false,Out in Open,true,M360,The High Line,M360-ZN01,The High Line Zone 1,M-16,M,100039433,DRINKFTN,I,M360-ZN01,Trough-The High Line-The High Line Zone 1,104,3,10,10011,982277.307411134,210095.529005646
M360-DF0118,NotYetActivated,Other,1,true,false,Out in Open,true,M360,The High Line,M360-ZN01,The High Line Zone 1,M-16,M,100039486,DRINKFTN,I,M360-ZN01,Other-The High Line-The High Line Zone 1,104,3,10,10011,982324.976607143,210542.420828387
M360-DF0119,NotYetActivated,Other,1,true,false,Out in Open,true,M360,The High Line,M360-ZN02,The High Line Zone 2,M-16,M,100039435,DRINKFTN,I,M360-ZN02,Other-The High Line-The High Line Zone 2,104,3,10,10011,983000.278406143,211849.045183643
M360-DF0120,NotYetActivated,Trough,1,true,false,Out in Open,true,M360,The High Line,M360-ZN02,The High Line Zone 2,M-16,M,100039459,DRINKFTN,I,M360-ZN02,Trough-The High Line-The High Line Zone 2,104,3,10,10001,983713.575535968,213347.569745644
